Date,Description,ChequeNo,Amount,Type
29-07-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4976,"3,530.00",Dr
29-07-2025,GUBBI ENTERPRISES/CLG/ICICI BANK LTD,4961,"14,760.00",Dr
30-07-2025,GRASIM INDUSTRIES LT/CLG/HDFC BANK LTD,4973,"31,592.00",Dr
30-07-2025,POOJA ENTERPRISES/CLG/AXIS BANK LTD,4966,"14,300.00",Dr
30-07-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4977,"95,782.00",Dr
30-07-2025,DHANLAXMI ENTERPRISE/CLG/,4971,"6,314.00",Dr
30-07-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4984,"36,347.00",Dr
31-07-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4985,"16,044.00",Dr
01-08-2025,01841700000295:Int.Coll:02-07-2025 to 01-08-2025,,"8,250.00",Dr
01-08-2025,"268157/BOM/STATION ROAD,THANE (STN)",,"7,532.00",Cr
01-08-2025,300806/PARSIK JAN/KHARIGAON(KGN),,"2,81,194.00",Cr
01-08-2025,CHETAK MINERALS/CLG/HDFC BANK LTD,4974,"5,490.00",Dr
01-08-2025,ULTRATECH CEMENT LIM/CLG/ICICI BANK LTD,4972,"14,941.00",Dr
01-08-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4986,"28,177.00",Dr
04-08-2025,NEFT/PJSBN52025080400477186/PJSB/KAYYUM TRAVELS PR,,"35,000.00",Cr
04-08-2025,POOJA ENTERPRISES/CLG/AXIS BANK LTD,4991,"11,400.00",Dr
04-08-2025,GLOBAL COLOURS AND C/CLG/HDFC BANK LTD,4964,"38,450.00",Dr
05-08-2025,300764/PARSIK JAN/KALWA BR.(KLB),,"20,000.00",Cr
05-08-2025,30/HDFC BK/GHODBUNDER,,"16,072.00",Cr
05-08-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4987,"73,829.00",Dr
05-08-2025,HARSH BROTHERS/CLG/YES BANK,4992,"16,000.00",Dr
05-08-2025,CHIRAG CHEMICALS/CLG/THANE JANATA SAHAKARI,4993,"6,940.00",Dr
05-08-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4978,"32,715.00",Dr
05-08-2025,MB NEFT/DCBLN62025080530604130/BARB/S R Jadhav and,,"5,310.00",Dr
05-08-2025,MB NEFT/DCBLN62025080530604194/BARB/S R Jadhav and,,"6,044.00",Dr
05-08-2025,MB NEFT/DCBLN62025080530606873/ICIC/Hasnat Hasnain,,"50,000.00",Dr
05-08-2025,MB NEFT/DCBLN62025080530616630/IDFB/M K Traders/Bi,,"6,793.00",Dr
06-08-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4988,"7,168.00",Dr
07-08-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4979,"49,493.00",Dr
08-08-2025,191/BASEIN CTH/THANE (TNA),,"1,45,000.00",Cr
08-08-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4980,"44,273.00",Dr
08-08-2025,MB NEFT/DCBLN62025080830923431/BARB/Mohammed Hasna,,"41,000.00",Dr
10-08-2025,NEFT/KKBKN62025081096864497/KKBK/3D EDGE,,"2,00,000.00",Cr
11-08-2025,IMPS:REC:522311818288/3D EDGE/KKBK/XX6882/COLOUR P,,"45,513.00",Cr
11-08-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4989,"40,849.00",Dr
12-08-2025,192/BASEIN CTH/THANE (TNA),,"1,20,000.00",Cr
12-08-2025,95/HDFC BK/JUHU TARA,,"50,000.00",Cr
12-08-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4981,"26,276.00",Dr
13-08-2025,DHANLAXMI ENTERPRISE/CLG/,5006,"8,779.00",Dr
13-08-2025,MB NEFT/DCBLN62025081330829090/BARB/S R Jadhav and,,"25,000.00",Dr
14-08-2025,CHIRAG CHEMICALS/CLG/THANE JANATA SAHAKARI,5005,"5,530.00",Dr
14-08-2025,NEFT/PJSBN52025081400681659/PJSB/KAYYUM TRAVELS PR,,"30,000.00",Cr
16-08-2025,1771/HDFC BK/JUHU TARA,,"1,74,452.00",Cr
16-08-2025,195/BASEIN CTH/THANE (TNA),,"95,000.00",Cr
16-08-2025,DINIGO ENTERPRISES/CLG/ICICI BANK LTD,5007,"8,258.00",Dr
16-08-2025,GUJARAT COLOURS AND/CLG/YES BANK,5010,"3,303.00",Dr
16-08-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4990,"78,544.00",Dr
16-08-2025,POOJA ENTERPRISES/CLG/AXIS BANK LTD,5004,"5,400.00",Dr
18-08-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4994,"12,692.00",Dr
18-08-2025,SHREEJI ENTERPRISES/CLG/AXIS BANK LTD,5008,"5,868.00",Dr
18-08-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4982,"31,928.00",Dr
19-08-2025,276605/THANE JAN/KALWA (KLW),,"3,00,000.00",Cr
19-08-2025,194/BASEIN CTH/THANE (TNA),,"1,10,000.00",Cr
19-08-2025,SHREENATH TRADERS/CLG/IDBI BANK LTD.,4975,"9,800.00",Dr
19-08-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4995,"50,360.00",Dr
19-08-2025,DHANLAXMI ENTERPRISE/CLG/,5012,"13,092.00",Dr
21-08-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4983,"5,46,110.00",Dr
21-08-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4996,"88,721.00",Dr
22-08-2025,CHETAK MINERALS/CLG/HDFC BANK LTD,5015,"6,579.00",Dr
22-08-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5000,"32,365.00",Dr
22-08-2025,BHAIRAVNATH ENTERPRI/CLG/TAMILNAD MERCANTILE BA,5009,"19,729.00",Dr
22-08-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4997,"19,455.00",Dr
23-08-2025,NEFT/KKBKN62025082314848999/KKBK/KWIK SOLUTIONS,,"35,624.00",Cr
25-08-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5001,"68,234.00",Dr
25-08-2025,CHIRAG CHEMICALS/CLG/THANE JANATA SAHAKARI,5013,"8,355.00",Dr
26-08-2025,1213/ICICI BK/KALYAN ),,"1,97,236.00",Cr
26-08-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5002,"35,439.00",Dr
26-08-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4998,"22,879.00",Dr
27-08-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5003,"10,258.00",Dr
27-08-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4999,"9,782.00",Dr
29-08-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5026,"46,230.00",Dr
29-08-2025,DEORA AGENCY/CLG/HDFC BANK LTD,5014,"16,267.00",Dr
30-08-2025,HARSH BROTHERS/CLG/YES BANK,5022,"8,000.00",Dr
30-08-2025,BHAIRAVNATH ENTERPRI/CLG/TAMILNAD MERCANTILE BA,5019,"13,575.00",Dr
30-08-2025,MB NEFT/DCBLN62025083030622790/IDFB/M K Traders/In,,"4,663.00",Dr
01-09-2025,01841700000295:Int.Coll:02-08-2025 to 01-09-2025,,"10,588.00",Dr
01-09-2025,31/HDFC BK/GHODBUNDER,,"34,516.00",Cr
01-09-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5027,"19,549.00",Dr
01-09-2025,DINIGO ENTERPRISE/CLG/ICICI BANK LTD,5023,"3,423.00",Dr
02-09-2025,GRASIM INDUSTRIES LT/CLG/HDFC BANK LTD,5025,"1,76,509.00",Dr
03-09-2025,300809/PARSIK JAN/KHARIGAON(KGN),,"3,00,000.00",Cr
03-09-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5028,"38,953.00",Dr
03-09-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5031,"37,530.00",Dr
04-09-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5032,"57,554.00",Dr
04-09-2025,NEFT/UCBAN52025090411267377/UCBA/ASHIP ART AND COM,,"1,98,568.00",Cr
04-09-2025,MB NEFT/DCBLN62025090430598390/ICIC/Hasnat Hasnain,,"40,000.00",Dr
05-09-2025,POOJA ENTERPRISES/CLG/AXIS BANK LTD,5024,"7,600.00",Dr
06-09-2025,GUBBI ENTERPRISES/CLG/ICICI BANK LTD,5011,"6,300.00",Dr
06-09-2025,KABAWAT BRUSH COMPAN/CLG/ICICI BANK LTD,5021,"8,520.00",Dr
08-09-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5029,"40,938.00",Dr
09-09-2025,POORNIMAELECTR/CLG/FEDERAL BANK LTD,5090,"11,910.00",Dr
09-09-2025,DHANLAXMI ENTERPRISE/CLG/,5088,"6,482.00",Dr
09-09-2025,GLOBAL COLOURS AND C/CLG/HDFC BANK LTD,5020,"13,890.00",Dr
09-09-2025,IMPS:PAY:525220793530/MB Mohamm/BARB/XX9822/Family,,"41,000.00",Dr
10-09-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5033,"8,579.00",Dr
10-09-2025,KABAWAT BRUSH COMPAN/CLG/ICICI BANK LTD,5089,"3,456.00",Dr
11-09-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5030,"39,966.00",Dr
11-09-2025,GRASIM INDUSTRIES LT/CLG/HDFC BANK LTD,5092,"1,28,115.00",Dr
11-09-2025,NEFT/UCBAN52025091111579805/UCBA/ASHIP ART AND COM,,"1,97,745.00",Cr
12-09-2025,70/KONKAN MER/RABODI II (THANE) (RAB),,"25,000.00",Cr
12-09-2025,"301260/PARSIK JAN/PARSIK NAGAR,THANE(PSN)",,"96,450.00",Cr
12-09-2025,POOJA ENTERPRISES/CLG/AXIS BANK LTD,5087,"10,500.00",Dr
15-09-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5034,"6,887.00",Dr
15-09-2025,CHETAK MINERALS/CLG/HDFC BANK LTD,5091,"5,958.00",Dr
15-09-2025,IMPS:REC:525816336189/CREATIVE /ICIC/XX8473/mahape,,"1,02,457.00",Cr
16-09-2025,HARSH BROTHERS/CLG/YES BANK,5086,"8,000.00",Dr
16-09-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5036,"81,241.00",Dr
16-09-2025,ULTRATECH CEMENT LIM/CLG/ICICI BANK LTD,5093,"9,060.00",Dr
16-09-2025,NEFT/UTIBN62025091605727442/UTIB/S M STAR PAINTING,,"4,00,000.00",Cr
16-09-2025,NEFT/PJSBN52025091600191279/PJSB/GREYSTONE ENTERPR,,"65,000.00",Cr
17-09-2025,1785/HDFC BK/JUHU TARA,,"89,798.00",Cr
17-09-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5037,"29,482.00",Dr
19-09-2025,SAI BABA TRADERS/CLG/CANARA BANK,5094,"3,495.00",Dr
20-09-2025,NEFT/PJSBN52025092000243517/PJSB/KAYYUM TRAVELS PR,,"25,000.00",Cr
20-09-2025,GRASIM INDUSTRIES LT/CLG/HDFC BANK LTD,5095,"21,724.00",Dr
20-09-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5038,"12,550.00",Dr
21-09-2025,MB NEFT/DCBLN62025092130514194/YESB/Constrochem Pr,,"9,000.00",Dr
22-09-2025,GLOBAL COLOURS AND C/CLG/HDFC BANK LTD,5076,"11,150.00",Dr
22-09-2025,NEFT/KKBKN62025092257452560/KKBK/VISHAL ENTERPRISE,,"25,000.00",Cr
23-09-2025,GUBBI ENTERPRISES/CLG/ICICI BANK LTD,5050,"3,150.00",Dr
23-09-2025,ULTRATECH CEMENT LIM/CLG/ICICI BANK LTD,5051,"5,772.00",Dr
24-09-2025,SHREENATH TRADERS/CLG/IDBI BANK LTD.,5080,"4,550.00",Dr
24-09-2025,DEORA AGENCY/CLG/HDFC BANK LTD,5083,"21,388.00",Dr
24-09-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5039,"84,911.00",Dr
25-09-2025,POOJA ENTERPRISES/CLG/AXIS BANK LTD,5082,"9,600.00",Dr
25-09-2025,MB NEFT/DCBLN62025092530885823/HDFC/BERGER PAINTS,,"28,809.70",Dr
26-09-2025,DHANLAXMI ENTERPRISE/CLG/,5085,"21,828.00",Dr
26-09-2025,BHAIRAVNATH ENTERPRI/CLG/TAMILNAD MERCANTILE BA,5081,"10,642.00",Dr
29-09-2025,276629/THANE JAN/KALWA (KLW),,"2,80,282.00",Cr
29-09-2025,909/ICICI BK/KALYAN ),,"1,47,196.00",Cr
29-09-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5040,"26,380.00",Dr
29-09-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5035,"39,545.00",Dr
29-09-2025,POOJA ENTERPRISES/CLG/AXIS BANK LTD,5054,"27,600.00",Dr
29-09-2025,ESDEE PAINTS LTD/CLG/HDFC BANK LTD,5046,"22,039.00",Dr
29-09-2025,GRASIM INDUSTRIES LT/CLG/HDFC BANK LTD,5055,"20,626.00",Dr
29-09-2025,KANSAINEROLACPAINTSL/CLG/ICICI BANK LTD,5084,"37,281.00",Dr
29-09-2025,CHIRAG CHEMICALS/CLG/THANE JANATA SAHAKARI,5079,"3,500.00",Dr
29-09-2025,CHETAK MINERALS/CLG/HDFC BANK LTD,5053,"15,390.00",Dr
30-09-2025,GUJARAT COLOURS AND/CLG/YES BANK,5096,"2,521.00",Dr
30-09-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5041,"3,16,706.00",Dr
30-09-2025,GRASIM INDUSTRIES LT/CLG/HDFC BANK LTD,5097,"25,873.00",Dr
30-09-2025,MB NEFT/DCBLN62025093030818866/HDFC/GRASIM INDUSTR,,"22,161.00",Dr
01-10-2025,01841700000295:Int.Coll:02-09-2025 to 01-10-2025,,"8,453.00",Dr
01-10-2025,HARSH BROTHERS/CLG/YES BANK,5052,"8,300.00",Dr
01-10-2025,ESDEE PAINTS LTD/CLG/HDFC BANK LTD,5047,"28,259.00",Dr
03-10-2025,700412/KALYN JANT/WADA,,"3,00,000.00",Cr
03-10-2025,POORNIMAELECTRICAND/CLG/FEDERAL BANK LTD,5078,"25,710.00",Dr
03-10-2025,LIC Thane 933000XXXX/CLG/HDFC BANK LTD,5098,"44,145.00",Dr
03-10-2025,DINIGO ENTERPRISES/CLG/ICICI BANK LTD,5077,"14,088.00",Dr
03-10-2025,MB NEFT/DCBLN62025100330534672/IDFB/M K Traders/25,,"4,168.00",Dr
04-10-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5056,"77,549.00",Dr
06-10-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5057,"41,249.00",Dr
07-10-2025,CUBE COLORS PRIVATE /CLG/AXIS BANK LTD,4968,"4,713.00",Dr
08-10-2025,GRASIM INDUSTRIES LT/CLG/HDFC BANK LTD,5103,"11,115.00",Dr
08-10-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5058,"13,716.00",Dr
08-10-2025,SHREENATH TRADERS/CLG/IDBI BANK LTD.,5101,"4,500.00",Dr
08-10-2025,NISHANT POLYCOATS PR/CLG/IDBI BANK LTD.,5102,"8,310.00",Dr
09-10-2025,NEFT/BARBN52025100970247209/BARB/OM ENTERPRISES,,"12,727.00",Cr
09-10-2025,NEFT/PJSBN52025100900545863/PJSB/GREYSTONE ENTERPR,,"61,168.00",Cr
09-10-2025,MB NEFT/DCBLN62025100930648262/HDFC/GRASIM INDUSTR,,"10,488.00",Dr
09-10-2025,MB NEFT/DCBLN62025100930648723/YESB/Constrochem Pr,,"12,000.00",Dr
10-10-2025,GRASIM INDUSTRIES LT/CLG/HDFC BANK LTD,5100,"18,805.00",Dr
10-10-2025,NEFT/UCBAN52025101012846529/UCBA/ASHIP ART AND COM,,"2,25,895.00",Cr
10-10-2025,ESDEE PAINTS LTD/CLG/HDFC BANK LTD,5048,"13,376.00",Dr
11-10-2025,MB NEFT/DCBLN62025101130810167/HDFC/GRASIM INDUSTR,,"26,193.00",Dr
11-10-2025,IMPS:PAY:528413499709/MB M K Tr/IDFB/XX8391/imps,,"7,275.00",Dr
13-10-2025,DT:30-09-2025 Penal Charge for Non-Utilisatio,,"6,000.00",Dr
13-10-2025,SGST FOR DT:30-09-2025 Penal Charg,,540.00,Dr
13-10-2025,CGST FOR DT:30-09-2025 Penal Charg,,540.00,Dr
13-10-2025,CUBE COLORS PRIVATE /CLG/AXIS BANK LTD,4969,"28,366.00",Dr
13-10-2025,IMPS:PAY:528618551663/MB GRASIM/HDFC/XX6292/imps,,"12,779.00",Dr
13-10-2025,HARSH BROTHERS/CLG/YES BANK,5099,"6,400.00",Dr
13-10-2025,BHAIRAVNATH ENTERPRI/CLG/TAMILNAD MERCANTILE BA,5105,"12,850.00",Dr
13-10-2025,POOJA ENTERPRISES/CLG/AXIS BANK LTD,5106,"19,820.00",Dr
13-10-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5059,"32,171.00",Dr
14-10-2025,301195/PARSIK JAN/KALWA BR.(KLB),,"18,000.00",Cr
14-10-2025,JSW PAINTS P L/CLG/KOTAK MAHINDRA BANK LT,5108,"63,897.00",Dr
14-10-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5060,"27,557.00",Dr
14-10-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5042,"96,196.00",Dr
14-10-2025,NEFT/BARBN52025101471508000/BARB/OM ENTERPRISES,,"33,418.00",Cr
14-10-2025,IMPS:PAY:528718578186/MB GRASIM/HDFC/XX6292/imps,,"7,174.00",Dr
15-10-2025,HARSH BROTHERS/CLG/YES BANK,5107,"6,400.00",Dr
15-10-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5061,"22,738.00",Dr
15-10-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5043,"39,083.00",Dr
15-10-2025,IMPS:REC:528816082713/3D EDGE/KKBK/XX6882/COLOUR P,,"2,20,000.00",Cr
15-10-2025,MB NEFT/DCBLN62025101530687200/HDFC/GRASIM INDUSTR,,"14,860.00",Dr
17-10-2025,BHAIRAVNATH ENTERPRI/CLG/TAMILNAD MERCANTILE BA,5110,"16,112.00",Dr
19-10-2025,DHANLAXMI ENTERPRISE/CLG/HDFC BANK LTD,5114,"4,609.00",Dr
19-10-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5044,"7,378.00",Dr
19-10-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5062,"43,063.00",Dr
19-10-2025,POOJA ENTERPRISES/CLG/AXIS BANK LTD,5112,"3,625.00",Dr
19-10-2025,MB NEFT/DCBLN62025101930588993/HDFC/GRASIM INDUSTR,,"41,547.00",Dr
20-10-2025,MB NEFT/DCBLN62025102030652295/HDFC/GRASIM INDUSTR,,"30,362.00",Dr
20-10-2025,CUBE COLORS PRIVATE /CLG/AXIS BANK LTD,5116,"4,362.00",Dr
20-10-2025,SHREEJI ENTERPRISES/CLG/AXIS BANK LTD,5109,"8,700.00",Dr
20-10-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5063,"19,057.00",Dr
20-10-2025,IBIFT/9002955100475 /BBPS /Bill PayTorrent Po,,"2,700.00",Dr
20-10-2025,IBIFT/9002955100475 /BBPS /Bill PayTorrent Po,,"2,150.00",Dr
20-10-2025,IBIFT/9002955100475 /BBPS /Bill PayAirtel Pos,,"2,062.64",Dr
21-10-2025,MB NEFT/DCBLN62025102130723755/UCBA/INDRAYANI CO O,,"4,149.00",Dr
23-10-2025,NEFT/UCBAN52025102313345779/UCBA/ASHIP ART AND COM,,"2,38,628.00",Cr
23-10-2025,MB NEFT/DCBLN62025102330825519/HDFC/GRASIM INDUSTR,,"13,738.00",Dr
23-10-2025,MB NEFT/DCBLN62025102330828570/RBIS/GST/July 2025,,"17,531.00",Dr
23-10-2025,36/HDFC BK/GHODBUNDER,,"31,255.00",Cr
24-10-2025,MB NEFT/DCBLN62025102430915984/HDFC/GRASIM INDUSTR,,"27,960.00",Dr
27-10-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5064,"74,163.00",Dr
27-10-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5045,"1,11,203.00",Dr
27-10-2025,MB NEFT/DCBLN62025102730601700/HDFC/GRASIM INDUSTR,,"40,585.00",Dr
27-10-2025,CUBE COLORS PRIVATE /CLG/AXIS BANK LTD,5117,"5,596.00",Dr
28-10-2025,NEFT/UTIBN62025102878757194/UTIB/DHANVANTRI PAINTS,,10.00,Cr
28-10-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5067,"14,233.00",Dr
28-10-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5065,"13,165.00",Dr
28-10-2025,MB NEFT/DCBLN62025102830682419/HDFC/GRASIM INDUSTR,,"7,312.00",Dr
28-10-2025,NEFT/UTIBN62025102879247224/UTIB/DHANVANTRI PAINTS,,"49,990.00",Cr
29-10-2025,ESDEE PAINTS LTD/CLG/HDFC BANK LTD,5049,"11,229.00",Dr
29-10-2025,MB NEFT/DCBLN62025102930771806/HDFC/GRASIM INDUSTR,,"97,365.00",Dr
29-10-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5069,"3,689.00",Dr
29-10-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5068,"10,051.00",Dr
29-10-2025,NEFT/UTIBN62025102990939016/UTIB/DHANVANTRI PAINTS,,"30,000.00",Cr
30-10-2025,NEFT/DCBLN62025103012418406/RBIS/ITD,5138,"1,65,000.00",Dr
30-10-2025,JSW PAINTS LTD/CLG/KOTAK MAHINDRA BANK LT,5133,"74,255.00",Dr
30-10-2025,MB NEFT/DCBLN62025103030898177/HDFC/GRASIM INDUSTR,,"3,902.00",Dr
31-10-2025,POOJA ENTERPRISES/CLG/AXIS BANK LTD,5137,"9,600.00",Dr
01-11-2025,01841700000295:Int.Coll:02-10-2025 to 01-11-2025,,"8,856.00",Dr
01-11-2025,NEFT/UCBAN52025110113719479/UCBA/ASHIP ART AND COM,,"1,86,758.00",Cr
01-11-2025,NEFT/UTIBN62025110126863875/UTIB/DHANVANTRI PAINTS,,"55,150.00",Cr
01-11-2025,DINIGO ENTERPRISES/CLG/ICICI BANK LTD,5104,"5,596.00",Dr
01-11-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5066,"65,354.00",Dr
01-11-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5070,"2,52,944.00",Dr
01-11-2025,CUBE COLORS PRIVATE /CLG/AXIS BANK LTD,5118,"9,156.00",Dr
03-11-2025,IMPS:REC:530710719079/3D EDGE/KKBK/XX6882/COLOURPO,,"88,711.00",Cr
03-11-2025,NEFT/KKBKN62025110320554993/KKBK/3D EDGE,,"1,89,574.00",Cr
03-11-2025,IMPS:REC:530716991815/3D EDGE/KKBK/XX6882/COLOURPO,,"1,00,000.00",Cr
03-11-2025,CHETAK MINERALS/CLG/HDFC BANK LTD,5136,"10,809.00",Dr
03-11-2025,DHANLAXMI ENTERPRISE/CLG/,5115,"13,488.00",Dr
03-11-2025,MB NEFT/DCBLN62025110330733422/HDFC/GRASIM INDUSTR,,"32,119.00",Dr
03-11-2025,300130/PARSIK JAN/KALWA BR.(KLB),,"8,206.00",Cr
03-11-2025,1225/ICICI BK/KALYAN ),,"1,87,654.00",Cr
04-11-2025,NEFT/PJSBN52025110400961000/PJSB/GREYSTONE ENTERPR,,"48,763.00",Cr
04-11-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5119,"1,187.00",Dr
04-11-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5071,"18,988.00",Dr
05-11-2025,SHREENATH TRADERS/CLG/IDBI BANK LTD.,5139,"7,650.00",Dr
06-11-2025,MB NEFT/DCBLN62025110630981720/HDFC/GRASIM INDUSTR,,"6,373.00",Dr
06-11-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5120,"1,385.00",Dr
06-11-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5072,"18,988.00",Dr
06-11-2025,DINIGO ENTERPRISES/CLG/ICICI BANK LTD,5143,"7,128.00",Dr
07-11-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5121,"33,062.00",Dr
07-11-2025,CHETAK MINERALS/CLG/HDFC BANK LTD,5141,"7,587.00",Dr
08-11-2025,IMPS:PAY:531212165057/MB INDIGO/HDFC/XX4724/imps,,"23,465.00",Dr
08-11-2025,MB NEFT/DCBLN62025110830712161/RBIS/GST/August GST,,"22,918.00",Dr
08-11-2025,IMPS:PAY:531222181396/MB Mohamm/BARB/XX9822/Family,,"41,000.00",Dr
10-11-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5122,"37,677.00",Dr
11-11-2025,MB NEFT/DCBLN62025111130920832/HDFC/GRASIM INDUSTR,,"25,380.00",Dr
11-11-2025,GUBBI ENTERPRISES/CLG/ICICI BANK LTD,5140,"12,450.00",Dr
11-11-2025,NEFT/DCBLN62025111114434795/RBIS/GST,5148,"4,720.00",Dr
11-11-2025,NEFT/KKBKN62025111133972818/KKBK/3D EDGE,,"18,810.00",Cr
11-11-2025,NEFT/KKBKN62025111134056574/KKBK/3D EDGE,,"1,70,000.00",Cr
11-11-2025,JSW PAINTS LTD/CLG/KOTAK MAHINDRA BANK LT,5134,"45,401.00",Dr
12-11-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5073,"18,988.00",Dr
12-11-2025,BHAIRAVNATH ENTERPRI/CLG/TAMILNAD MERCANTILE BA,5142,"15,276.00",Dr
13-11-2025,IMPS:PAY:531718301097/MB GRASIM/HDFC/XX6292/imps,,692.00,Dr
14-11-2025,IMPS:PAY:531810310284/MB BERGER/HDFC/XX0046/imps,,"19,579.00",Dr
14-11-2025,HARSH BROTHERS/CLG/IDBI BANK LTD.,5113,"7,372.00",Dr
14-11-2025,NEFT/UTIBN62025111481381648/UTIB/R K ENGINEERING,,"19,942.00",Cr
14-11-2025,GUJARAT COLOURS AND/CLG/YES BANK,5146,"2,025.00",Dr
14-11-2025,HARSH BROTHERS/CLG/YES BANK,5144,"14,400.00",Dr
14-11-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5123,"6,214.00",Dr
15-11-2025,GRASIM INDUSTRIES LT/CLG/HDFC BANK LTD,5150,710.00,Dr
15-11-2025,TO CASH/SUNIL P KAMBLE,5152,"1,00,000.00",Dr
15-11-2025,MB NEFT/DCBLN62025111530825280/HDFC/GRASIM INDUSTR,,"18,250.00",Dr
15-11-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5124,"25,647.00",Dr
16-11-2025,NEFT/UTIBN62025111603312959/UTIB/DHANVANTRI PAINTS,,"1,10,050.00",Cr
17-11-2025,NEFT/PJSBN52025111700204879/PJSB/KAYYUM TRAVELS PR,,"20,000.00",Cr
17-11-2025,POOJA ENTERPRISES/CLG/AXIS BANK LTD,5147,"28,500.00",Dr
