Date,Description,ChequeNo,Amount,Type
29-04-2025,POOJA ENTERPRISES/CLG/AXIS BANK LTD,4902,"9,600.00",Dr
29-04-2025,STAR SYNDICATE/CLG/KOTAK MAHINDRA BANK LT,4897,"16,500.00",Dr
30-04-2025,CHIRAG CHEMICALS/CLG/THANE JANATA SAHAKARI,4907,"7,005.00",Dr
30-04-2025,DARSHAN PAINTS PRIVA/CLG/HDFC BANK LTD,4903,"11,858.00",Dr
01-05-2025,01841700000295:Int.Coll:02-04-2025 to 01-05-2025,,"12,436.00",Dr
02-05-2025,NEFT/KKBKN62025050256199156/KKBK/3D EDGE,,"2,19,540.00",Cr
02-05-2025,NEFT/UTIBN62025050278541677/UTIB/S M STAR PAINTING,,"1,00,000.00",Cr
03-05-2025,GRASIM INDUSTRIES LT/CLG/HDFC BANK LTD,4912,"34,200.00",Dr
05-05-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4880,"24,857.00",Dr
05-05-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4881,"20,000.00",Dr
06-05-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4882,"19,645.00",Dr
06-05-2025,IMPS:REC:512618154645/3D EDGE/KKBK/XX6882/BILL NO,,"91,036.00",Cr
07-05-2025,ULTRATECH CEMENT LIM/CLG/ICICI BANK LTD,4911,"13,756.00",Dr
07-05-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4884,"18,528.00",Dr
07-05-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4883,"29,219.00",Dr
07-05-2025,NEFT/UTIBN62025050727937197/UTIB/S M STAR PAINTING,,"1,00,000.00",Cr
08-05-2025,GUJARAT COLOURS AND/CLG/YES BANK,,"4,178.00",Dr
08-05-2025,Returned/4913/CHQ IRREGULARLY DRAWN/AMT IN WORDS &,,"4,178.00",Cr
08-05-2025,IMPS:REC:512817588084/3D EDGE/KKBK/XX6882/COLOR PO,,"1,68,792.00",Cr
08-05-2025,NEFT/UCBAN52025050806293373/UCBA/ASHIP ART AND COM,,"41,029.00",Cr
09-05-2025,1172/ICICI BK/SERVICE BRANCH,,"2,29,510.00",Cr
09-05-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4886,"3,19,314.00",Dr
09-05-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4885,"1,43,647.00",Dr
12-05-2025,ESDEE PAINTS LTD/CLG/HDFC BANK LTD,4906,"27,810.00",Dr
12-05-2025,POOJA ENTERPRISES/CLG/AXIS BANK LTD,4914,"5,760.00",Dr
12-05-2025,CHETAK MINERALS/CLG/HDFC BANK LTD,4909,"7,272.00",Dr
12-05-2025,CHETAK MINERALS/CLG/HDFC BANK LTD,4910,"9,639.00",Dr
14-05-2025,1175/ICICI BK/SERVICE BRANCH,,"2,17,626.00",Cr
14-05-2025,500017/PARSIK JAN/KALWA BR.(KLB),,"2,00,000.00",Cr
14-05-2025,STAR SYNDICATE/CLG/KOTAK MAHINDRA BANK LT,4919,"16,500.00",Dr
14-05-2025,CHIRAG CHEMICALS/CLG/THANE JANATA SAHAKARI,4915,"4,800.00",Dr
14-05-2025,RATNA AGENCY/CLG/KOTAK MAHINDRA BANK LT,4916,"5,971.00",Dr
14-05-2025,DHANLAXMI ENTERPRISE/CLG/,4918,"4,432.00",Dr
15-05-2025,GUBBI ENTERPRISES/CLG/ICICI BANK LTD,4917,"7,900.00",Dr
15-05-2025,GRASIM INDUSTRIES LT/CLG/HDFC BANK LTD,4492,447.00,Dr
17-05-2025,GUJARAT COLOURS AND/CLG/YES BANK,4921,"4,173.00",Dr
19-05-2025,STAR SYNDICATE/CLG/KOTAK MAHINDRA BANK LT,4920,"8,720.00",Dr
19-05-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4813,"30,920.00",Dr
19-05-2025,GRASIM INDUSTRIES LT/CLG/HDFC BANK LTD,4499,"71,004.00",Dr
19-05-2025,GRASIM INDUSTRIES LT/CLG/HDFC BANK LTD,4497,"60,921.00",Dr
21-05-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4482,"23,474.00",Dr
21-05-2025,GRASIM INDUSTRIES LT/CLG/HDFC BANK LTD,4500,"12,009.00",Dr
22-05-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4887,"13,637.00",Dr
23-05-2025,GRASIM INDUSTRIES LT/CLG/HDFC BANK LTD,4501,"17,376.00",Dr
23-05-2025,CUBE COLORS PRIVATE /CLG/AXIS BANK LTD,4493,"19,207.00",Dr
23-05-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4888,"32,458.00",Dr
23-05-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4483,"79,739.00",Dr
23-05-2025,GLOBAL COLOURS AND C/CLG/HDFC BANK LTD,4925,"3,850.00",Dr
23-05-2025,POOJA ENTERPRISES/CLG/AXIS BANK LTD,4922,"3,940.00",Dr
26-05-2025,CUBE COLORS PRIVATE /CLG/AXIS BANK LTD,4494,"5,024.00",Dr
